Ticket ID,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Ticket Priority,Customer Satisfaction Rating
154,Technical issue,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist. #4: The product.

#5: {product_id}.

#6: ""Vaporizer"": {product_id}. I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Pending Customer Response,Medium,
155,Technical issue,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

6.0.2 Bug fixes and other improvements.

6.0.1 Bug fixes and other improvements.

6.0.0 I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Open,Medium,
156,Cancellation request,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.

This issue is a minor cosmetic.

You must be logged in to use the site.

The admin will have 2 ways to help: I've already contacted customer support multiple times, but the issue remains unresolved.",Open,Low,
157,Product inquiry,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. :)

There are two versions (1.1.4.29):

http://forum.xbox.com/xbox-server/show I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Open,Low,
158,Technical issue,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

""All of the product is fine. I just had a broken heart and I'll come in tomorrow to a different shop and get a full and proper refund I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Open,Medium,
159,Product inquiry,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks.

Please feel free to suggest new products or other helpful tips in the comments below. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,Low,
160,Billing inquiry,Cancellation request,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do?

I had no idea that the device was behaving this way and started running I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,High,
161,Refund request,Account access,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

Open the account. You'll find everything you need to do. The next step is I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,High,
162,Refund request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

Note: The number 0, where ""0"" is the customer that bought the product. If this is not your case, please refer to the seller's This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,High,3
163,Refund request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. <br> <br> <br> </p> <p> <blockquote lang=""en""><p>We have an issue with {product_p I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Closed,Critical,1
164,Cancellation request,Product recommendation,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. It just went off, never doing anything. I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Medium,3
165,Billing inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the product_purchased}. Please assist.

I'm having an issue with the product_purchased}. This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,Low,5
166,Product inquiry,Network problem,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

You can help us restore your account for free by sharing this code with your friends I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Pending Customer Response,Low,
167,Refund request,Battery life,"I'm having an issue with the {product_purchased}. Please assist. For example, if your product is $3.99 - you can sell it at $3.98 with a new order, so your customer will get 25% I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Closed,Medium,3
168,Technical issue,Delivery problem,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

How can I recover my account? There are several strategies to resolve this issue, I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Medium,3
169,Billing inquiry,Delivery problem,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? Let me know on the issue tracker here.


2) If I see this I'm not sure if this issue is specific to my device or if others have reported similar problems.",Open,High,
170,Product inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

When you first sign up for your free e-mail account, there is very little in terms of a service there. The service, for example, sends I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Medium,1
171,Billing inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

This is not my product, but a way of doing things to make money and I'm so happy I have gotten through all of you (you are so I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,Low,4
172,Refund request,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

I understand that there's a question of which products to purchase. It's easy to say if you are in my store and can buy all or few, I've already contacted customer support multiple times, but the issue remains unresolved.",Open,Low,
173,Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

It's important to understand how this works and how it can be corrected. The first thing you need to do is set up the service so you get a I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,Medium,
174,Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

A user has reported a problem. Please enable JavaScript to view the report.

A browser error has occurred.

Please hold the Shift key and I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,Medium,
175,Technical issue,Data loss,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? I've checked for any available software updates for my {product_purchased}, but there are none.",Pending Customer Response,Critical,
176,Technical issue,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.

[01:12:47.547] [Client thread/INFO]: [CHAT] [Touhoumon][[Touhoubon] I've checked for any available software updates for my {product_purchased}, but there are none.",Closed,Medium,4
177,Technical issue,Refund request,"I'm having an issue with the {product_purchased}. Please assist. - S1t1D, ""Huge""

#25 - New York, NY - Westfield Fieldhouse (New York, NY) (W I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,Medium,
178,Cancellation request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

If it is not the {product_purchased} and not a customer, please contact the representative at the address provided and let us know so we I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Pending Customer Response,High,
179,Billing inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist. $5.00 shipped. Please contact me with more information. $13.00 shipped. Please contact me with additional information.

Reviews I've already contacted customer support multiple times, but the issue remains unresolved.",Open,Medium,
180,Billing inquiry,Data loss,"My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data?


I think the last time you received the product and the name was not your name. Please I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,Critical,
181,Refund request,Product compatibility,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. Any ideas on how to fix this? Any I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Medium,
182,Cancellation request,Account access,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the {product_purchased}. Please assist.

M-100

I'm having an issue with the I've checked the device settings and made sure that everything is configured correctly.",Pending Customer Response,Critical,
183,Product inquiry,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. Thank you. I can't find your address. Please fill my address in a form or request a copy. I'm not aware of a place to obtain you. I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Closed,High,4
184,Billing inquiry,Network problem,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

If I use your name I would do so. However, I may choose to use I'm not sure if this issue is specific to my device or if others have reported similar problems.",Closed,Medium,4
185,Refund request,Product setup,"I'm having an issue with the {product_purchased}. Please assist. 1. You have an offer to pay 1% off the price. 2. You have an offer to pay 1% off the price. 3. You have an I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Pending Customer Response,High,
186,Technical issue,Software bug,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution? A. Try to use the same method as the others, but try to disable I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Open,Low,
187,Product inquiry,Refund request,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

I am using the I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,Medium,
188,Cancellation request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Please help out your customers in the best way. Be polite. Don't be aggressive and call them.

You've got me, what, you I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Pending Customer Response,Low,
189,Refund request,Product compatibility,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? It probably won't be possible to play with it as it does not have a I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Closed,High,1
190,Technical issue,Display issue,"I'm having an issue with the {product_purchased}. Please assist. Thank you. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Open,Critical,
191,Refund request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

The product you purchased is the same as the item that you ordered when that order was delivered.

Note: If you are using one of the many I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,Critical,
192,Product inquiry,Delivery problem,"The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem? By writing a customised application which creates a 'frequently asked questions' Inc I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Pending Customer Response,Low,
193,Product inquiry,Account access,"I'm having an issue with the {product_purchased}. Please assist.

[17:42] <x2b3> a2d3-x-xx[37]: c-15-x-xx-xx The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Medium,1
194,Cancellation request,Refund request,I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? 1. Get my app installed and run the following command. 1 3 4 5 6 I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?,Pending Customer Response,Critical,
195,Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. (I'm using '{product_id}' as a product id in my code to indicate the 'id' I want to share).

Add the I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Medium,2
196,Refund request,Product compatibility,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

I have setup a DNS server to determine if the requested service provider I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Open,High,
197,Refund request,Display issue,"I'm having an issue with the {product_purchased}. Please assist. —

—

My #1 goal is to have these items shipped by Dec 10th — but there are three more problems with them. My email message I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Pending Customer Response,Low,
198,Refund request,Delivery problem,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue?

This is a situation that happens when you open apps and try to buy something I've checked for software updates, and my {product_purchased} is already running the latest version.",Closed,High,3
199,Cancellation request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

*Please add your order to the shopping cart and send us your order.

*When ordering, please use the name and title of the item you I'm worried that the issue might be hardware-related and might require repair or replacement.",Closed,Critical,5
200,Product inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

3.6 The vendor-specific UI

The <uipybar> section of <uipybar> and <uipybar I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Closed,Medium,5
201,Product inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

0 1

1 2

4 / 8 A/S: POTATO INFLUENCE

Filed on: 26 Sep I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Open,Critical,
202,Refund request,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.

{item_category} - Display all items of the brand (e.g. shoes, dresses, gloves) from various retail outlets

- The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,Medium,
203,Billing inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist. Please contact support@crowdfunding.com. Support is very helpful!

This is my attempt from the very beginning to give my backers something to invest in I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Open,Medium,
204,Product inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist. The price on these products is wrong. We'll resolve it with the correct pricing at a later date, depending on the needs and capabilities of the customer. I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,Low,
205,Cancellation request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

If the product is NOT available, you now have a product_purchased. Please assist.

If you were the initial purchaser of the product I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,High,3
206,Refund request,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. If you can find the right, you may be able to fix it.

Please let me know and I'll use them to fix a problem. I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Medium,1
207,Billing inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist. Thanks.

You need this product on your desktop that doesn't include an external hard drive (for example, from a printer, CD or DVD player). I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Open,High,
208,Billing inquiry,Display issue,"I'm having an issue with the {product_purchased}. Please assist. I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,Critical,
209,Refund request,Account access,"I'm having an issue with the {product_purchased}. Please assist.

I used that one. It saved me $2 and didn't cost me any cash, so I figured I'd give it a try. I made an I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Open,High,
210,Technical issue,Delivery problem,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

• Do The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Low,1
211,Technical issue,Software bug,I'm having an issue with the {product_purchased}. Please assist. # {product_purchased}. My $50 bill and my $100 bill and a $50 bill... pic.twitter.com/RQDp I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.,Pending Customer Response,Low,
212,Product inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

Here's an article by my friend Rob from MEC and I've recently been talking to everyone:

http://www.mobilegrouper. I've checked for software updates, and my {product_purchased} is already running the latest version.",Pending Customer Response,Low,
213,Technical issue,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Thank you

Mara G

We're sorry, an error occurred while processing your order. Please try again in 2 to 3 hours. I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,Medium,
214,Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the {product_purchased}. Please assist.

My order arrived within 24 hours, as I purchased a lot I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Open,High,
215,Product inquiry,Display issue,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

$ curl -s the_product I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Open,Low,
216,Billing inquiry,Peripheral compatibility,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently.

There is no way to know if something is deleting your data or not. In other words I'm not sure if this issue is specific to my device or if others have reported similar problems.",Open,Critical,
217,Technical issue,Delivery problem,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

No, the firmware can always be updated only in case of I've checked for software updates, and my {product_purchased} is already running the latest version.",Pending Customer Response,High,
218,Billing inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

Product was purchased from JVC's warehouse on the day of the auction

Product was sold on the street of Brooklyn's Brooklyn Museum

Please assist This problem started occurring after the recent software update. I haven't made any other changes to the device.",Open,Low,
219,Billing inquiry,Battery life,I'm having an issue with the {product_purchased}. Please assist. # # If the product will sell for only $0 and then sold again after 3 minutes. The customer should be able to figure out a return value from the store I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.,Pending Customer Response,Critical,
220,Technical issue,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

Thank you for subscribing! You may unsubscribe at any time.

You may opt-out at any time.

You may not re- I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Critical,2
221,Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist. There are some issues that require immediate action (1 month) and the payment for the services will be collected as soon as the item is available.

Please follow I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,Medium,5
222,Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist. Contact customer support.

I'm having an issue with the product_purchased}. Please assist. Contact customer support. I'm having an issue with some I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Pending Customer Response,Critical,
223,Cancellation request,Account access,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. I have done everything right, and it's I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Pending Customer Response,Critical,
224,Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist. "" aspiration_id ='1.13191422152955456214954559.454545.45453057.4545 I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,Low,
225,Refund request,Network problem,"I'm having an issue with the {product_purchased}. Please assist. I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,Medium,
226,Technical issue,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

If something goes wrong in the billing process or if you have no response or other issues please contact the customer service representative you send.

What happens after The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,High,4
227,Billing inquiry,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

{product_purchased} I'm having an issue with product_purchased that says {product_purchased} was added to / I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,High,4
228,Cancellation request,Product recommendation,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? This is mostly because there is not enough RAM to take this down. Is there I've checked for any available software updates for my {product_purchased}, but there are none.",Pending Customer Response,Low,
229,Billing inquiry,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist. It does NOT count as the package was purchased after my purchase and is included as a ""private"" purchase,"" etc.

The only good news is that my I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Open,Low,
230,Technical issue,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks!

This is the standard and recommended type. There are also many differencesLIST for ""standard"" products. If you can only read that type then you I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Closed,Critical,2
231,Refund request,Display issue,"I'm having an issue with the {product_purchased}. Please assist. Thank you for your Support!

Volta's new iPhone 6, on sale today for $799, will cost $3,600 to pre-order I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Pending Customer Response,Low,
232,Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist.

Asking for a refund or exchange

The customer may choose to return shipping costs once they request a refund.

Refunds may also have I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,High,
233,Technical issue,Display issue,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the (product_purchased). Please assist.

This does not help me to continue to play the game I The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,High,
234,Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks! I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,High,
235,Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.  Please note that the manufacturer may want your name on the label in several cases.  However, I never have, nor will I ever be used to I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,Critical,
236,Billing inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist. That's not right either; we don't offer any services to create or sell products without the consent of purchasers.

What is My Account? I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Pending Customer Response,Critical,
237,Refund request,Refund request,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

This issue is not caused by external network interference. The hardware adapter I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Closed,Critical,3
238,Product inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

We're not sure if there are any products that are eligible for a refund of our service fees.

The price shown represents your credit score while you I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,High,4
239,Refund request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. If it seems like I missed something, feel free to try it.

We've worked the hard in making your app available in all languages. You can download I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Critical,
240,Cancellation request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

When you select the product on our site and click on the 'add to cart' button, it says: 'Sorry – no product is found. Please I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Open,Low,
241,Technical issue,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. This is the one that came with the product(s) and which has made the delivery

easy.

You can do this by emailing support[ I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Closed,Low,5
242,Billing inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. 1) If you purchased the product you were given the gift, please do not enter the gift in the order listed on this page. 2) If you are not This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,Low,2
243,Technical issue,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. If an order is made, please send me your name, email address & phone number so I can get in touch and get back to them. Thanks. You can I'm worried that the issue might be hardware-related and might require repair or replacement.",Open,Critical,
244,Technical issue,Delivery problem,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? If your business is I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Pending Customer Response,Critical,
245,Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

I am a new customer, not a giftcard shopper, and there are no restrictions on how often to respond to a product purchase. But please be I've checked for software updates, and my {product_purchased} is already running the latest version.",Pending Customer Response,Medium,
246,Billing inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

Thank you for your support.

Best Regards,

Michael

I've been using the product for 2 months. I've bought it I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,Medium,
247,Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist. We have nothing to do with it. Please try to have an informed discussion about this issue with the seller. Thank you for your time!


3/28 The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,Medium,
248,Billing inquiry,Hardware issue,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. — Donald J. Trump (@realDonaldTrump) January 24, 2016

The campaign later said the deleted The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,Medium,
249,Refund request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

How to get to our store!

To help you get the shopping experience, we will be hosting a meeting 2257 Fwy SE West, NE I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,Critical,
250,Refund request,Product compatibility,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

If you've been I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Closed,High,3
251,Technical issue,Product setup,"I'm having an issue with the {product_purchased}. Please assist. I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Closed,Critical,2
252,Technical issue,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.

This is not an issue from a manufacturer. Please assist me

(I understand if the product wasn't a manufacturer) Thank you.

This I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Pending Customer Response,Critical,
253,Cancellation request,Network problem,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue?

I've been using Microsoft Azure's REST service for almost 4 years now. I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,High,
254,Technical issue,Cancellation request,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? Are there any other ways to get out of this state without getting stuck The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,High,
255,Refund request,Installation support,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond.

The following is from the ""F I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,Low,
256,Refund request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

The products or services we offer reflect your choice in product or service, as well as what options and services are available to you. Contact Information: I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,High,
257,Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist. I'll try to fix it. I could even try different names.""

What is the ""Product Purchased"" option?

As you probably will I need assistance as soon as possible because it's affecting my work and productivity.",Pending Customer Response,High,
258,Cancellation request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. I've checked for software updates, and my {product_purchased} is already running the latest version.",Open,High,
259,Product inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

""

set (x)

call (e)

fprintf (y)

fprintf (f)

""Error I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Open,High,
260,Billing inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

If we can't fix it immediately, we'll do a full review of that issue

If there's not any help from you before this time, I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Closed,Low,5
261,Billing inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist. - Please respond to the customer on Twitter, Facebook, or the email address

""Thanks for the time

""Thanks for the time! Happy Easter! I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,High,
262,Billing inquiry,Hardware issue,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

Solution: Find and I've checked for software updates, and my {product_purchased} is already running the latest version.",Open,Critical,
263,Product inquiry,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the {product_purchased}. Please assist. My phone has a broken data plan. If you're upgrading, please This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,Medium,2
264,Product inquiry,Display issue,"I'm having an issue with the {product_purchased}. Please assist. For full disclosure, my name is Ben Witherspoon, and I am my personal product customer.

1-day shipping options: $4.99 I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Open,Medium,
265,Refund request,Cancellation request,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

To restore I've tried different settings and configurations on my {product_purchased}, but the issue persists.",Closed,Critical,3
266,Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. $25: $125: $250: $500: $1,000: $2,000: $3,000: $4,000: $ I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Closed,Medium,2
267,Technical issue,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

The item number

If the product is in the quantity specified you will have to buy the correct number.

Click the ""Shop for Add To I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Open,High,
268,Technical issue,Product recommendation,I'm having an issue with the {product_purchased}. Please assist. I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.,Open,Low,
269,Cancellation request,Refund request,"I'm having an issue with the {product_purchased}. Please assist. I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,Medium,
